,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
0,Physical,Horizon,BOOK,2007,12,35,Richistan : a journey through the American wealth boom and the lives of the new rich / Robert Frank.,"Frank, Robert, 1968-","Wealth United States, Rich people United States, Millionaires United States","Crown Publishers,",c2007.
1,Physical,Horizon,BOOK,2007,12,2,Wire knits / Heather Kingsley-Heath.,"Kingsley-Heath, Heather","Wire craft, Knitting","Search,",2007.
2,Physical,Horizon,SOUNDDISC,2007,12,15,audiences listening,,"House music, Popular music 2001 2010",,
3,Physical,Horizon,BOOK,2007,12,1,African ark : people and ancient cultures of Ethiopia and the Horn of Africa / Carol Beckwith and Angela Fisher ; text by Graham Hancock.,"Beckwith, Carol, 1945-","Ethnology Africa Northeast, Africa Northeast Social life and customs","H.N. Abrams,",1990.
4,Physical,Horizon,VIDEODISC,2007,12,8,Superman the animated series Volume two The new Superman adventures,,"Video recordings for the hearing impaired, Animated films, Superman Fictitious character Fiction, Childrens films",,
5,Physical,Horizon,BOOK,2007,12,1,Animals can be so hard to see / Diane Swanson.,"Swanson, Diane, 1944-","Camouflage Biology Juvenile literature, Animal defenses Juvenile literature, Camouflage Biology","Greystone Books,",2002.
6,Physical,Horizon,BOOK,2007,12,1,30 days to the LSAT teacher tested strategies and techniques for scoring high,,"Law School Admission Test, Law schools United States Entrance examinations",,
7,Physical,Horizon,VIDEOCASS,2007,12,3,debut,,"Video recordings for the hearing impaired, Comedy films, Feature films, Filipino Americans Drama, Filipino Americans Social life and customs 21st century Drama, Family Folklore Drama, Parties Drama",,
8,Physical,Horizon,BOOK,2007,12,1,Erins voyage,,"Voyages and travels Fiction, Dolls Fiction",,
9,Physical,Horizon,VIDEODISC,2007,12,23,tourneuse de pages The page turner,,"Revenge Drama, Video recordings for the hearing impaired, Pianists Drama, Feature films, Motion pictures French, Conservatories of music France Drama",,
10,Physical,Horizon,SOUNDDISC,2007,12,5,Live at Tipitinas 1982,,Popular music 1981 1990,,
11,Physical,Horizon,BOOK,2007,12,3,Thorn in her side,,"Schools Fiction, Magic Fiction, Princesses Fiction, Characters in literature Fiction",,
12,Physical,Horizon,BOOK,2007,12,2,Two blue jays / Anne Rockwell ; pictures by Megan Halsey.,"Rockwell, Anne F.","Blue jay Juvenile fiction, Parental behavior in animals Juvenile fiction","Walker,",2003.
13,Physical,Horizon,BOOK,2007,12,1,House Beautiful 750 decorating design ideas,,Interior decoration United States History 20th century,,
14,Physical,Horizon,BOOK,2007,12,1,Jacqueline Susann's shadow of the dolls,"Lawrence, Rae",,Crown,2001
15,Physical,Horizon,BOOK,2007,12,3,"Frankenstein makes a sandwich : and other stories you're sure to like, because they're all about monsters, and some of them are also about food... / by Adam Rex.","Rex, Adam","Monsters Juvenile poetry, Childrens poetry American Juvenile literature, American poetry Juvenile literature","Harcourt,",c2006.
16,Physical,Horizon,BOOK,2007,12,1,Italian cusine the new essential reference to the riches of the Italian table,,Cookery Italian,,
17,Physical,Horizon,VIDEOCASS,2007,12,12,Girl on the bridge,,"Video recordings for the hearing impaired, Feature films",,
